country,code,name,name_wo,sub_division,function,status,iata,coordinates,remarks,locode
FR,RXB,Rouxmesnil-Bouteilles,Rouxmesnil-Bouteilles,76,-23-----,RL,,4955N 00104E,,FRRXB
FR,ROY,Rouy,Rouy,58,--3-----,RL,,4701N 00331E,,FRROY
FR,QRZ,Rouzède,Rouzede,16,--3-----,RL,,4543N 00033E,,FRQRZ
FR,WRO,Roville-devant-Bayon,Roville-devant-Bayon,54,-----6--,RL,,4828N 00617E,,FRWRO
FR,R4V,Rovon,Rovon,38,--3-----,RL,,4512N 00528E,,FRR4V
FR,RYN,Royan,Royan,17,1--4----,AF,,4537N 00103W,,FRRYN
FR,OYR,Roy-Boissy,Roy-Boissy,60,--3-----,RL,,4935N 00155E,,FROYR
FR,OYB,Roybon,Roybon,38,--3-----,RL,,4515N 00515E,,FROYB
FR,RYQ,Roye,Roye,70,--3-----,RL,,4740N 00633E,,FRRYQ
FR,RYE,Roye,Roye,80,-23-----,RL,,4942N 00247E,,FRRYE
FR,ROX,Royères,Royeres,87,--3-----,RL,,4551N 00126E,,FRROX
FR,YZU,Roye-sur-Matz,Roye-sur-Matz,60,-----6--,RL,,4935N 00247E,,FRYZU
FR,8FO,Roynac,Roynac,26,--3-----,RL,,4438N 00456E,,FR8FO
FR,ZAY,Rozay-en-Brie,Rozay-en-Brie,77,--3-----,RL,,4841N 00258E,,FRZAY
FR,R3S,Rozelieures,Rozelieures,54,--3-----,RL,,4827N 00626E,,FRR3S
FR,2RZ,Rozet-Saint-Albin,Rozet-Saint-Albin,2,--3--6--,RL,,4912N 00318E,,FR2RZ
FR,RZQ,Rozières,Rozieres,52,--3-----,RL,,4825N 00449E,,FRRZQ
FR,RZS,Rozoy-sur-Serre,Rozoy-sur-Serre,2,--3-----,RL,,4943N 00408E,,FRRZS
FR,RZC,Roz-sur-Couesnon,Roz-sur-Couesnon,35,--3-----,RL,,4835N 00136W,,FRRZC
FR,BR6,Rschwoog,Rschwoog,67,-----6--,RL,,4850N 00802E,,FRBR6
FR,RUQ,Ruan,Ruan,45,-23-----,RL,,4807N 00155E,,FRRUQ
FR,RUA,Ruaudin,Ruaudin,72,--3-----,RL,,4756N 00016E,,FRRUA
FR,U2M,Rubempré,Rubempre,80,--3-----,RL,,5001N 00223E,,FRU2M
FR,ZHE,Rubrouck,Rubrouck,59,-----6--,RL,,5050N 00221E,,FRZHE
FR,RUC,Ruch,Ruch,33,--3--6--,RL,,4446N 00002W,,FRRUC
FR,URX,Rue,Rue,80,--3-----,RL,,5016N 00140E,,FRURX
FR,RWW,Rueil-Malmaison,Rueil-Malmaison,92,--3-----,AA,,4853N 00212E,,FRRWW
FR,RUE,Rueil-Malmaison,Rueil-Malmaison,92,--3-----,AF,,4853N 00212E,,FRRUE
FR,USH,Ruelisheim,Ruelisheim,68,--3-----,RL,,4750N 00722E,,FRUSH
FR,RLU,Ruelle-sur-Touvre,Ruelle-sur-Touvre,16,--3-----,RL,,4541N 00014E,,FRRLU
FR,USN,Ruesnes,Ruesnes,59,--3-----,RL,,5016N 00335E,,FRUSN
FR,RFF,Ruffec,Ruffec,16,-23-----,RL,,4601N 00012E,,FRRFF
